name,country,calories,fat,carbs,protein,avg_rating,prep_time,cook_time,total_time,servings,pct_fat,pct_carbs,pct_protein
Fried Matzo,Jewish,485.0,24.0,49.0,19.0,4.6,10,20,30,1.0,0.44536082474226807,0.4041237113402062,0.15670103092783505
Mom's Buttermilk Pancakes,Scandinavian,210.0,8.0,27.0,7.0,4.2,15,15,30,4.0,0.34285714285714286,0.5142857142857142,0.13333333333333333
Sicilian Homemade Ricotta Cheese,Italian,219.0,16.0,12.0,8.0,4.8,10,35,55,20.0,0.6575342465753424,0.2191780821917808,0.1461187214611872
Cabbage and Kielbasa,German,568.0,46.0,22.0,18.0,4.4,15,25,40,6.0,0.7288732394366197,0.15492957746478872,0.1267605633802817
Borscht I,Polish,185.0,9.0,24.0,3.0,4.4,25,60,85,8.0,0.43783783783783786,0.518918918918919,0.06486486486486487
Italian-Style Bruschetta,Canadian,234.0,11.0,29.0,6.0,4.7,15,5,80,8.0,0.4230769230769231,0.49572649572649574,0.10256410256410256
Authentic Miso Soup,Japanese,65.0,3.0,5.0,6.0,4.7,15,10,30,4.0,0.4153846153846154,0.3076923076923077,0.36923076923076925
Sautéed Mushrooms (Quick and Simple),French,194.0,20.0,5.0,2.0,4.4,10,10,20,2.0,0.9278350515463918,0.10309278350515463,0.041237113402061855
Sweet Tea Peaches,Southern Recipes,131.0,0.0,33.0,1.0,5.0,15,10,25,8.0,0.0,1.0076335877862594,0.030534351145038167
Hasty Pudding,German,226.0,7.0,40.0,3.0,4.0,0,0,0,12.0,0.27876106194690264,0.7079646017699115,0.05309734513274336
Foolproof Potato Latkes,Israeli,289.0,13.0,37.0,7.0,4.3,15,25,40,5.0,0.40484429065743943,0.5121107266435986,0.09688581314878893
Sabzi Polo,Persian,575.0,24.0,83.0,12.0,5.0,20,75,95,6.0,0.37565217391304345,0.577391304347826,0.08347826086956522
Ghormeh Sabzi (Persian Herb Stew),Persian,344.0,23.0,19.0,18.0,4.9,45,145,190,6.0,0.6017441860465116,0.22093023255813954,0.20930232558139536
Dragon Fruit Shake,Vietnamese,149.0,1.0,40.0,1.0,4.0,10,0,10,2.0,0.06040268456375839,1.0738255033557047,0.026845637583892617
Japanese Christmas Cake,Japanese,545.0,32.0,56.0,8.0,3.7,25,45,70,10.0,0.5284403669724771,0.41100917431192663,0.05871559633027523
Healthier Swedish Meatballs,Scandinavian,442.0,22.0,25.0,39.0,5.0,20,30,60,4.0,0.4479638009049774,0.22624434389140272,0.35294117647058826
