AGE,female,married,educ_cat,faminc_mid,metro_binary,race_cat,us_citizen,has_children,insured,OCC,IND,INCWAGE,FIRMSIZE,NCHILD,YEAR,STATEFIP,worker_cat,employed
22,0,0,4,125000,1,Black,1,0,1,5400,8590,0,0,0,2020,25,Part-time,1
25,0,0,4,125000,1,Asian,0,0,0,2545,7870,20400,9,0,2020,25,Part-time,1
28,0,0,4,125000,1,Asian,0,0,0,2545,7870,20400,9,0,2020,25,Part-time,1
26,0,0,4,125000,1,Asian,0,0,1,2545,7870,17000,2,0,2020,25,Part-time,1
26,0,0,4,125000,1,Asian,0,0,0,2545,7870,20400,9,0,2020,25,Part-time,1
24,0,0,4,125000,1,Asian,0,0,0,2545,7870,10000,9,0,2020,25,Part-time,1
29,0,0,4,125000,1,White,1,0,1,750,6991,100000,9,0,2020,25,Private for-profit,1
28,0,0,5,125000,1,Asian,1,0,1,1007,7380,135000,9,0,2020,25,Private for-profit,1
27,1,0,5,125000,1,White,1,0,1,726,7870,65000,9,0,2020,25,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,1970,7290,45000,2,0,2020,25,Private for-profit,1
26,0,0,5,87500,1,White,0,0,1,2545,7870,39000,9,0,2020,25,Part-time,1
28,1,0,4,87500,1,White,1,0,1,2545,7870,39000,9,0,2020,25,Part-time,1
24,0,0,5,87500,1,White,1,0,1,2545,7870,39000,9,0,2020,25,Part-time,1
28,0,0,4,27500,1,White,1,0,1,565,6970,44000,7,0,2020,25,Private for-profit,1
24,0,0,4,27500,1,White,1,0,1,1610,7460,32000,8,0,2020,25,Private for-profit,1
30,1,0,5,200000,1,White,1,0,1,51,8680,48437,9,0,2020,25,Private for-profit,1
30,0,0,5,200000,1,White,1,0,1,2100,7270,75500,1,0,2020,25,Private for-profit,1
27,0,0,4,13750,1,White,1,0,1,2360,8590,300,5,0,2020,25,Part-time,1
27,1,0,4,125000,1,Asian,1,0,1,500,7380,78000,1,0,2020,25,Private for-profit,1
28,1,1,5,200000,1,Asian,0,0,1,1006,7390,27000,7,0,2020,25,Private for-profit,1
29,0,1,5,200000,1,Asian,0,0,1,1021,5593,116666,9,0,2020,25,Private for-profit,1
24,0,0,4,200000,1,White,1,0,1,710,7390,60000,7,0,2020,25,Private for-profit,1
24,0,0,4,200000,1,White,1,0,1,735,6991,50000,9,0,2020,25,Private for-profit,1
23,1,0,4,200000,1,White,1,0,1,710,7390,45000,9,0,2020,25,Private for-profit,1
23,0,0,4,200000,1,Asian,1,0,1,1970,8191,0,0,0,2020,25,Private for-profit,1
27,0,0,4,27500,1,Asian,1,0,1,230,7870,17827,9,0,2020,25,Part-time,1
24,0,0,4,27500,1,Asian,0,0,0,2545,6670,18000,9,0,2020,25,Part-time,1
27,0,0,4,125000,1,White,1,0,1,136,7380,126000,7,0,2020,25,Private for-profit,1
25,1,0,4,125000,1,White,1,0,1,4760,5170,20000,2,0,2020,25,Private for-profit,1
23,1,0,4,67500,1,White,1,0,1,9620,4971,7200,9,0,2020,25,Private for-profit,1
25,0,0,4,87500,1,White,1,0,1,2014,9480,20000,5,0,2020,25,Part-time,1
29,1,0,4,200000,1,White,1,0,1,4720,4971,5000,9,0,2020,25,Part-time,1
28,0,0,4,200000,1,White,1,0,1,1021,7380,142000,7,0,2020,25,Private for-profit,1
27,1,0,5,200000,1,White,1,0,1,440,7390,125145,7,0,2020,25,Private for-profit,1
29,0,0,4,125000,1,Asian,1,0,1,1760,2190,65000,7,0,2020,25,Private for-profit,1
29,0,1,5,200000,1,Other,1,0,1,1760,6890,120000,9,0,2020,25,Private for-profit,1
26,1,1,4,200000,1,Asian,1,0,1,1760,7460,57000,9,0,2020,25,Private for-profit,1
29,1,1,4,200000,1,White,1,1,1,3255,8191,49254,7,1,2020,25,Part-time,1
23,1,0,4,13750,1,White,1,0,1,0,0,1200,7,0,2020,25,Unemployed,0
22,0,0,4,55000,1,Asian,0,0,0,4010,8680,2000,9,0,2020,25,Part-time,1
29,1,1,4,45000,1,White,0,1,1,440,770,3000,1,3,2020,25,Part-time,1
30,0,0,5,200000,1,Asian,1,0,1,630,7870,120000,7,0,2020,25,Private for-profit,1
25,0,0,4,200000,1,White,1,0,1,1360,7290,70000,7,0,2020,25,Private for-profit,1
24,0,0,4,200000,1,White,1,0,1,800,7280,50000,7,0,2020,25,Private for-profit,1
28,0,0,4,200000,1,White,1,0,1,1050,7380,57000,9,0,2020,25,Private for-profit,1
29,1,0,5,200000,1,Asian,0,0,1,1021,5593,130000,9,0,2020,25,Private for-profit,1
22,0,1,5,87500,1,White,1,1,1,10,7380,120000,1,2,2020,25,Self-employed,1
25,1,1,5,87500,1,White,1,1,1,2100,7270,87000,9,2,2020,25,Part-time,1
30,0,0,5,200000,1,Asian,1,0,1,1021,7380,42000,9,0,2020,25,Private for-profit,1
25,0,0,4,200000,1,White,1,0,1,2545,7870,19000,9,0,2020,25,Private for-profit,1
27,0,0,5,125000,1,White,1,0,1,1760,8191,102400,9,0,2020,25,Private for-profit,1
26,1,0,5,125000,1,White,1,0,1,3230,7860,84000,7,0,2020,25,Private for-profit,1
29,0,1,5,200000,1,Asian,0,0,1,1240,1070,52000,9,0,2020,25,Private for-profit,1
29,1,1,5,200000,1,Asian,0,0,1,1021,6992,100000,9,0,2020,25,Private for-profit,1
24,1,0,4,67500,1,White,1,0,1,350,8070,18000,9,0,2020,25,Private for-profit,1
23,0,0,4,200000,1,White,1,0,1,2310,7860,26000,9,0,2020,25,Government,1
28,1,0,4,125000,1,White,1,0,1,3421,5070,93000,9,0,2020,25,Unemployed,0
28,1,0,5,125000,1,Asian,0,0,1,1021,8790,118000,9,0,2020,25,Private for-profit,1
23,1,0,4,87500,1,Other,1,0,1,220,770,31500,1,0,2020,25,Part-time,1
29,1,0,5,200000,1,Asian,0,0,1,1760,7460,80000,9,0,2020,25,Private for-profit,1
29,1,1,5,200000,1,Asian,1,0,1,726,8191,80000,9,0,2020,25,Private for-profit,1
29,0,1,5,200000,1,Asian,0,0,1,1021,7380,93000,9,0,2020,25,Private for-profit,1
28,0,0,5,200000,1,Asian,0,0,1,1022,7380,90000,9,0,2020,25,Private for-profit,1
24,1,0,4,125000,1,Asian,1,0,1,1745,7390,25000,9,0,2020,25,Private for-profit,1
25,0,0,4,125000,1,Black,1,0,1,137,8390,53000,9,0,2020,25,Private for-profit,1
23,0,0,5,125000,1,Asian,0,0,1,2320,7860,44501,7,0,2020,25,Part-time,1
25,0,0,4,125000,1,White,1,0,1,1530,3291,75000,9,0,2020,25,Private for-profit,1
30,0,0,5,125000,1,White,0,0,1,1650,7870,210000,8,0,2020,25,Private for-profit,1
27,1,0,4,125000,1,Asian,1,0,1,440,7280,120000,8,0,2020,25,Private for-profit,1
25,0,0,4,200000,1,White,1,0,1,9310,6090,50000,5,0,2020,25,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,1310,770,80000,7,0,2020,25,Private for-profit,1
27,0,0,5,200000,1,White,1,0,1,4920,7072,0,0,0,2020,25,Private for-profit,1
26,0,0,4,200000,1,White,1,0,1,1440,280,65000,5,0,2020,25,Private for-profit,1
23,0,0,4,200000,1,White,1,0,1,4850,7580,2800,7,0,2020,25,Private for-profit,1
24,0,0,4,200000,1,White,1,0,1,1220,7390,48000,9,0,2020,25,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,710,5593,65000,9,0,2020,25,Private for-profit,1
28,0,0,4,67500,1,White,1,0,1,2310,7860,57000,9,0,2020,25,Government,1
28,0,1,4,125000,1,Asian,1,1,1,120,6870,85000,9,1,2020,25,Private for-profit,1
24,1,0,4,200000,1,White,1,0,1,850,6970,38000,9,0,2020,25,Private for-profit,1
22,1,0,4,200000,1,White,1,0,1,3422,8090,2000,5,0,2020,25,Part-time,1
29,1,0,4,87500,1,Black,0,0,1,3602,8370,30000,2,0,2020,25,Private for-profit,1
30,1,0,4,87500,1,Other,1,0,1,4350,9090,0,1,0,2020,25,Part-time,1
24,0,0,4,200000,1,White,1,0,1,4760,4795,46000,9,0,2020,25,Private for-profit,1
25,0,0,4,55000,1,White,1,0,1,3930,7680,30000,9,0,2020,25,Private for-profit,1
24,1,0,4,200000,1,White,1,0,1,5240,7470,48000,5,0,2020,25,Private for-profit,1
24,1,0,4,125000,1,White,1,1,1,5400,8990,23500,2,1,2020,25,Private for-profit,1
29,0,1,4,125000,1,White,1,0,1,710,7280,100000,7,0,2020,25,Private for-profit,1
27,1,0,5,200000,1,White,1,0,1,630,7580,36000,7,0,2020,25,Private for-profit,1
28,0,0,4,200000,1,White,1,0,1,1720,7460,60000,5,0,2020,25,Private for-profit,1
23,0,0,4,32500,1,Black,1,0,1,4710,4270,40000,7,0,2020,25,Private for-profit,1
25,0,0,5,27500,1,Asian,0,0,1,2545,7870,26000,2,0,2020,25,Part-time,1
27,1,0,5,125000,1,White,1,0,1,230,7870,60002,8,0,2020,25,Private for-profit,1
27,0,0,4,125000,1,White,1,0,1,5165,6870,90000,9,0,2020,25,Private for-profit,1
24,1,0,5,32500,1,White,1,0,1,2205,7860,33000,9,0,2020,25,Part-time,1
24,1,0,4,37500,1,White,1,0,0,710,6970,45000,9,0,2020,25,Private for-profit,1
28,1,1,5,125000,1,White,1,0,1,3090,8191,60000,9,0,2020,25,Private for-profit,1
29,0,1,5,125000,1,White,1,0,1,2100,7270,80000,2,0,2020,25,Private for-profit,1
23,0,0,4,37500,1,White,0,0,1,1760,7870,12000,9,0,2020,25,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,800,7280,49000,2,0,2020,25,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,710,7390,94939,9,0,2020,25,Private for-profit,1
27,1,0,4,200000,1,White,1,0,1,735,7390,85000,9,0,2020,25,Private for-profit,1
28,1,0,4,87500,1,White,1,0,1,440,7370,50000,2,0,2020,25,Private for-profit,1
23,1,0,4,22500,1,White,1,0,1,5860,570,0,0,0,2020,25,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,4840,7280,100000,9,0,2020,25,Private for-profit,1
28,0,0,4,200000,1,White,1,0,1,4840,7380,85000,9,0,2020,25,Private for-profit,1
25,0,0,4,200000,1,White,1,0,0,4840,7380,30500,9,0,2020,25,Private for-profit,1
23,0,0,4,55000,1,Black,1,0,1,3645,8191,5000,9,0,2020,25,Private for-profit,1
25,0,0,4,125000,1,White,1,0,1,5165,6890,90000,9,0,2020,25,Private for-profit,1
25,0,0,4,125000,1,White,1,0,1,800,6890,80000,5,0,2020,25,Private for-profit,1
25,1,0,4,125000,1,White,1,0,1,52,4795,65000,9,0,2020,25,Private for-profit,1
26,1,0,4,125000,1,White,1,0,1,51,5275,85500,5,0,2020,25,Private for-profit,1
30,1,0,5,67500,1,White,0,0,1,1650,7460,50000,7,0,2020,25,Private for-profit,1
25,0,1,4,125000,1,Asian,1,0,1,1021,5593,120000,9,0,2020,25,Private for-profit,1
26,1,1,5,125000,1,Asian,1,0,1,3050,5070,80000,9,0,2020,25,Private for-profit,1
22,0,0,4,125000,1,White,1,0,1,1220,7390,130000,9,0,2020,25,Private for-profit,1
22,0,0,4,125000,1,White,1,0,1,1220,7390,90000,9,0,2020,25,Private for-profit,1
22,0,0,4,125000,1,White,1,0,1,1220,7390,129000,9,0,2020,25,Private for-profit,1
28,1,1,4,2500,1,White,0,1,1,4110,8680,20000,9,1,2020,25,Private for-profit,1
27,0,0,4,37500,1,White,1,0,1,440,8590,0,0,0,2020,25,Private for-profit,1
25,0,0,4,87500,1,White,1,0,1,5240,6380,41000,9,0,2020,25,Private for-profit,1
